mes,variacao_mensal
12-1979,
1-1980,6.62
10-1980,9.48
11-1980,6.67
12-1980,6.61
2-1980,4.62
3-1980,6.04
4-1980,5.29
5-1980,5.7
6-1980,5.31
7-1980,5.55
8-1980,4.95
9-1980,4.23
1-1981,6.84
10-1981,5.08
11-1981,5.27
12-1981,5.93
2-1981,6.4
3-1981,4.97
4-1981,6.46
5-1981,5.56
6-1981,5.52
7-1981,6.26
8-1981,5.5
9-1981,5.26
1-1982,6.97
10-1982,4.44
11-1982,5.29
12-1982,7.81
2-1982,6.64
3-1982,5.71
4-1982,5.89
5-1982,6.66
6-1982,7.1
7-1982,6.36
8-1982,5.97
9-1982,5.08
1-1983,8.64
10-1983,8.87
11-1983,7.38
12-1983,8.68
2-1983,7.86
3-1983,7.34
4-1983,6.58
5-1983,6.48
6-1983,9.88
7-1983,10.08
8-1983,9.11
9-1983,10.3
1-1984,9.67
10-1984,10.44
11-1984,10.53
12-1984,11.98
2-1984,9.5
3-1984,8.94
4-1984,9.54
5-1984,9.05
6-1984,10.08
7-1984,9.72
8-1984,9.35
9-1984,11.75
1-1985,11.76
10-1985,10.62
11-1985,13.97
12-1985,15.07
2-1985,10.87
3-1985,10.16
4-1985,8.2
5-1985,7.2
6-1985,8.49
7-1985,10.31
8-1985,12.05
9-1985,11.12
1-1986,14.37
10-1986,1.9
11-1986,5.45
12-1986,11.65
2-1986,12.72
3-1986,4.77
4-1986,0.78
5-1986,1.4
6-1986,1.27
7-1986,1.71
8-1986,3.55
9-1986,1.72
1-1987,13.21
10-1987,11.22
11-1987,15.08
12-1987,14.15
2-1987,12.64
3-1987,16.37
4-1987,19.1
5-1987,21.45
6-1987,19.71
7-1987,9.21
8-1987,4.87
9-1987,7.78
1-1988,18.89
10-1988,25.62
11-1988,27.94
12-1988,28.7
2-1988,15.7
3-1988,17.6
4-1988,19.29
5-1988,17.42
6-1988,22
7-1988,21.91
8-1988,21.59
9-1988,27.45
1-1989,37.49
10-1989,39.77
11-1989,47.82
12-1989,51.5
2-1989,16.78
3-1989,6.82
4-1989,8.33
5-1989,17.92
6-1989,28.65
7-1989,27.74
8-1989,33.71
9-1989,37.56
1-1990,67.55
10-1990,14.36
11-1990,16.81
12-1990,18.44
2-1990,75.73
3-1990,82.39
4-1990,15.52
5-1990,7.59
6-1990,11.75
7-1990,12.92
8-1990,12.88
9-1990,14.41
1-1991,20.75
10-1991,20.23
11-1991,25.21
12-1991,23.71
2-1991,20.72
3-1991,11.92
4-1991,4.99
5-1991,7.43
6-1991,11.19
7-1991,12.41
8-1991,15.63
9-1991,15.63
1-1992,25.94
10-1992,25.24
11-1992,22.49
12-1992,25.24
2-1992,24.32
3-1992,21.4
4-1992,19.93
5-1992,24.86
6-1992,20.21
7-1992,21.83
8-1992,22.14
9-1992,24.63
1-1993,30.35
10-1993,33.92
11-1993,35.56
12-1993,36.84
2-1993,24.98
3-1993,27.26
4-1993,27.75
5-1993,27.69
6-1993,30.07
7-1993,30.72
8-1993,32.96
9-1993,35.69
