ano,id_regiao,renda_principal
1981,1,1346.0936228992439
1981,2,954.29196126652164
1981,3,1578.1450167895082
1981,4,1514.0804437439397
1981,5,1591.423137613152
1982,1,1370.6945612559584
1982,2,897.118548461184
1982,3,1509.1722652437018
1982,4,1488.6965015901862
1982,5,1544.794797134208
1983,5,947.65817579180214
1984,1,1200.994247423984
1984,2,754.96787566506009
1984,3,1180.0173038627586
1984,4,1270.0791276737941
1984,5,1175.7570922780444
1985,1,1445.7586409593259
1985,2,865.57894316220313
1985,3,1378.4344153910233
1985,4,1480.1105535601087
1985,5,1381.6259644414624
1986,1,1884.0975896531481
1986,2,1167.4846593863767
1986,3,2025.4098181899019
1986,4,1988.5667630634234
1986,5,2160.3500034537542
1987,1,1401.0908192597894
1987,2,887.91405984136691
1987,3,1478.9533148812957
1987,4,1479.50100350058
1987,5,1496.8585845516918
1988,5,1145.691849062523
1989,1,1507.7778643803595
1989,2,877.3061114670088
1989,3,1543.8649850363413
1989,4,1503.9403254157839
1989,5,1505.1271307664788
1990,1,1481.3322965266955
1990,2,808.70583584523445
1990,3,1388.8959114067945
1990,4,1397.9819086386262
1990,5,1415.574021854072
1992,1,969.29303887382378
1992,2,725.42489628655221
1992,3,1201.5956385814893
1992,4,1204.7586273599495
1992,5,1106.4366154034667
1993,1,1102.7148165907477
1993,2,767.07572156196943
1993,3,1217.2465796949741
1993,4,1296.201391277757
1993,5,1276.7198836201537
1995,1,1308.7205915813438
1995,2,893.9655504320167
1995,3,1519.7105941315574
1995,4,1538.917925713263
1995,5,1390.7202689611936
1996,1,
1996,2,
1996,3,
1996,4,
1996,5,
1997,1,1240.6027948337953
1997,2,910.52058272901672
1997,3,1543.2582131965667
1997,4,1525.0822910497145
1997,5,1473.117955989705
1998,1,1209.040151106313
1998,2,928.1912365784948
1998,3,1541.4557206696015
1998,4,1539.8526315789472
1998,5,1493.6615699309641
1999,1,1139.451532546301
1999,2,874.30774533657609
1999,3,1432.9180698538871
1999,4,1448.1716222565283
1999,5,1364.3639751552805
2001,1,1099.1481576582376
2001,2,832.52538738738747
2001,3,1427.4534031946255
2001,4,1402.0693097102157
2001,5,1358.9017012412107
2002,1,1049.0767543859606
2002,2,800.35401842995418
2002,3,1386.0778063298967
2002,4,1350.2411693426216
2002,5,1361.4692976978463
2003,1,899.08779394009139
2003,2,702.81281852783786
2003,3,1277.4970776509897
2003,4,1296.161841172302
2003,5,1232.5044997353102
2004,1,910.58676396346686
2004,2,738.354959043785
2004,3,1253.4624691241515
2004,4,1317.3407248382782
2004,5,1280.1437302990712
2005,1,939.67552843757051
2005,2,779.16146742454782
2005,3,1322.7703775090677
ano,id_regiao,renda_principal
1981,1,1346.0936228992441
1981,2,954.29196126652164
1981,3,1578.1450167895082
1981,4,1514.0804437439397
1981,5,1591.4231376131522
1982,1,1370.6945612559584
1982,2,897.118548461184
1982,3,1509.1722652437018
1982,4,1488.6965015901862
1982,5,1544.794797134208
1983,5,947.65817579180214
1984,1,1200.994247423984
1984,2,754.96787566506009
1984,3,1180.0173038627586
1984,4,1270.0791276737943
1984,5,1175.7570922780444
1985,1,1445.7586409593259
1985,2,865.57894316220313
1985,3,1378.4344153910233
1985,4,1480.1105535601087
1985,5,1381.6259644414624
1986,1,1884.0975896531481
1986,2,1167.4846593863767
1986,3,2025.4098181899019
1986,4,1988.5667630634234
1986,5,2160.3500034537542
1987,1,1401.0908192597894
1987,2,887.91405984136691
1987,3,1478.9533148812957
1987,4,1479.50100350058
1987,5,1496.8585845516918
1988,5,1145.691849062523
1989,1,1507.7778643803595
1989,2,877.3061114670088
1989,3,1543.8649850363413
1989,4,1503.9403254157839
1989,5,1505.1271307664788
1990,1,1481.3322965266955
1990,2,808.70583584523445
1990,3,1388.8959114067945
1990,4,1397.9819086386262
1990,5,1415.574021854072
1992,1,969.29303887382378
1992,2,725.42489628655221
1992,3,1201.5956385814893
1992,4,1204.7586273599495
1992,5,1106.4366154034667
1993,1,1102.7148165907477
1993,2,767.07572156196932
1993,3,1217.2465796949741
1993,4,1296.201391277757
1993,5,1276.7198836201537
1995,1,1308.7205915813438
1995,2,893.9655504320167
1995,3,1519.7105941315574
1995,4,1538.917925713263
1995,5,1390.7202689611936
1996,1,
1996,2,
1996,3,
1996,4,
1996,5,
1997,1,1240.6027948337953
1997,2,910.52058272901684
1997,3,1543.2582131965667
1997,4,1525.0822910497145
1997,5,1473.117955989705
1998,1,1209.0401511063133
1998,2,928.1912365784948
1998,3,1541.4557206696015
1998,4,1539.8526315789472
1998,5,1493.6615699309641
1999,1,1139.451532546301
1999,2,874.30774533657609
1999,3,1432.9180698538871
1999,4,1448.1716222565283
1999,5,1364.3639751552805
2001,1,1099.1481576582376
2001,2,832.52538738738747
2001,3,1427.4534031946255
2001,4,1402.0693097102157
2001,5,1358.9017012412107
2002,1,1049.0767543859606
2002,2,800.35401842995418
2002,3,1386.0778063298967
2002,4,1350.2411693426216
2002,5,1361.4692976978463
2003,1,899.08779394009139
2003,2,702.812818527838
2003,3,1277.4970776509897
2003,4,1296.161841172302
2003,5,1232.5044997353102
2004,1,910.58676396346686
2004,2,738.354959043785
